code_commune,nom_commune,code_departement,prix_moyen,nb_ventes
01371,Saint-Marcel,01,3186.2058941968567,12
01372,Saint-Martin-de-Bavel,01,1638.6842150295909,6
01374,Saint-Martin-du-Mont,01,2075.1257928858827,27
01375,Saint-Martin-le-Châtel,01,2868.204507559019,7
01376,Saint-Maurice-de-Beynost,01,3406.2623308878633,56
01378,Saint-Maurice-de-Gourdans,01,3268.8599735971047,29
01379,Saint-Maurice-de-Rémens,01,1823.5058295028311,12
01380,Saint-Nizier-le-Bouchoux,01,1554.4778537427585,9
01381,Saint-Nizier-le-Désert,01,2098.8557745417033,8
01383,Saint-Paul-de-Varax,01,2372.3384883846547,20
01384,Saint-Rambert-en-Bugey,01,2044.1812883498972,34
01385,Saint-Rémy,01,2680.9393314865947,13
01386,Saint-Sorlin-en-Bugey,01,2439.8938430442495,9
01387,Saint-Sulpice,01,2216.8709520256,6
01388,Saint-Trivier-de-Courtes,01,2443.1535054420287,18
01389,Saint-Trivier-sur-Moignans,01,3097.1339536797686,30
01390,Saint-Vulbas,01,2921.2091063471516,7
01393,Sandrans,01,3474.2227361604755,16
01396,Sault-Brénaz,01,3265.390895868837,16
01397,Sauverny,01,5547.229393549815,20
01398,Savigneux,01,3842.8380566778433,17
01399,Ségny,01,4528.875433083658,35
01401,Sergy,01,6154.4624245107025,42
01402,Sermoyer,01,1747.8941609500876,14
01403,Serrières-de-Briord,01,4133.21196833195,30
01405,Servas,01,1818.1056731047809,11
01407,Seyssel,01,4105.036307309193,44
01408,Simandre-sur-Suran,01,1725.5272312474224,6
01410,Sonthonnax-la-Montagne,01,2417.0480472276417,8
01411,Souclin,01,3501.711327957521,7
01412,Sulignat,01,3031.151424715118,11
01415,Talissieu,01,1844.7869089480384,6
01416,Tenay,01,1255.8623889736848,29
01418,Thil,01,3919.732070597805,12
01419,Thoiry,01,4950.9471204273505,86
01420,Thoissey,01,1847.5540994728424,26
01421,Torcieu,01,2114.255576202479,6
01422,Tossiat,01,3731.813007391296,24
01423,Toussieux,01,4055.545355714232,10
01424,Tramoyes,01,4369.642093359498,16
01425,La Tranclière,01,2428.888888888889,6
01426,Val-Revermont,01,2165.370499988997,41
01427,Trévoux,01,4657.857870052022,111
01429,Vandeins,01,2370.2669518963344,6
01430,Varambon,01,2731.2500698107306,9
01431,Vaux-en-Bugey,01,2551.0357293602515,15
01435,Versonnex,01,4862.556453728188,21
01436,Vesancy,01,4774.053891510004,12
01443,Villars-les-Dombes,01,4187.608845411111,67
01444,Villebois,01,2043.096976905087,18
01445,Villemotier,01,1768.2797791222547,14
01446,Villeneuve,01,3254.998646687458,10
01447,Villereversure,01,1909.2152340403743,19
01449,Villette-sur-Ain,01,2446.9463335273203,7
01450,Villieu-Loyes-Mollon,01,3219.661474278232,56
01451,Viriat,01,3139.2744974104976,77
01452,Virieu-le-Grand,01,2099.2721263607127,21
01453,Arvière-en-Valromey,01,2862.3168308837394,9
01454,Virignin,01,2879.2670615477455,21
01457,Vonnas,01,2425.712969055019,52
02002,Achery,02,1065.7404588001748,12
02003,Acy,02,1603.2647329121648,16
02011,Ambleny,02,2016.1930395772972,20
02013,Amifontaine,02,1885.7684322484702,6
02018,Anizy-le-Grand,02,1746.9950031202607,33
02020,Any-Martin-Rieux,02,1060.3283169072643,6
02022,Arcy-Sainte-Restitue,02,1916.6771583732755,11
02028,Athies-sous-Laon,02,1459.1252018230011,32
02029,Attilly,02,1831.475580696876,6
02037,Aulnois-sous-Laon,02,1463.2557962103674,16
02041,Autreville,02,1415.6326782874385,8
02049,Barisis-aux-Bois,02,1081.596352554008,10
02053,Vallées en Champagne,02,1659.1740388983035,8
02057,Beaurevoir,02,861.7410455547465,12
02058,Beaurieux,02,1789.8571698954368,12
02059,Beautor,02,1224.7064712977278,37
02061,Becquigny,02,1275.3608835564576,6
02063,Bellenglise,02,2028.432445560916,6
02064,Belleu,02,2088.489386100826,36
02068,Berlancourt,02,1325.3960573918089,6
02070,Bernot,02,863.3673527667015,6
02071,Berny-Rivière,02,1485.225348985547,10
02074,Bertaucourt-Epourdon,02,1489.7515978367749,8
02083,Beuvardes,02,1671.0312196149448,8
02085,Bézu-Saint-Germain,02,1553.8299838916057,7
02086,Bichancourt,02,1190.3315795574163,14
02089,Billy-sur-Aisne,02,1690.0594822478386,10
02093,Blérancourt,02,1552.7901924721782,25
02094,Blesmes,02,1865.7876348441387,6
02095,Bohain-en-Vermandois,02,1836.6345530748213,72
02101,Bosmont-sur-Serre,02,1089.1896000552101,6
02103,Boué,02,1083.1923818862888,16
02106,Bourg-et-Comin,02,1471.9499978928943,9
02109,La Bouteille,02,939.174253367709,13
02110,Braine,02,1482.641331685544,24
02111,Brancourt-en-Laonnois,02,1456.515720815133,12
02114,Brasles,02,2321.7166340223275,16
02116,Braye-en-Thiérache,02,1361.2975990907573,9
02124,Brissy-Hamégicourt,02,1561.0528378913405,14
02125,Brumetz,02,2352.237654320988,6
02128,Bruyères-et-Montbérault,02,1577.5536693900638,33
02131,Bucy-le-Long,02,1693.2192164560988,10
02133,Bucy-lès-Pierrepont,02,1296.3891972081046,9
02134,Buire,02,1146.7551786554816,14
02135,Buironfosse,02,898.9638625039111,8
02139,Caillouël-Crépigny,02,1565.1623774407988,8
02140,Camelin,02,1232.4447246321824,6
02141,La Capelle,02,1157.3436054847732,18
02145,Caumont,02,1168.4302314679082,12
02153,Cessières-Suzy,02,2551.3649210660046,12
02160,Chaourse,02,787.1101825057923,6
02162,La Chapelle-sur-Chézy,02,1513.9542083258066,6
02163,Charly-sur-Marne,02,2200.309352405731,15
02165,Charmes,02,3656.1714401086133,41
02166,Chartèves,02,1555.649338385457,11
02167,Chassemy,02,1537.506774366085,10
02168,Château-Thierry,02,3690.1498992832544,202
02173,Chauny,02,1965.4161376210188,194
02174,Chavignon,02,1253.0029156739286,12
02179,Chéry-Chartreuve,02,1469.6846282372599,6
02180,Chéry-lès-Pouilly,02,1364.780548974283,11
02185,Chézy-en-Orxois,02,1646.3755341880342,8
02186,Chézy-sur-Marne,02,2569.1456078177557,31
02187,Chierry,02,2325.6226648288985,19
02190,Chivres-Val,02,6000.289482850424,11
02192,Chouy,02,1497.943823245028,8
02195,Ciry-Salsogne,02,1560.5505717586973,9
02197,Clairfontaine,02,1224.5396435862247,6
02199,Clastres,02,1509.193034181798,6
02203,Coincy,02,1620.4295460251521,17
02208,Concevreux,02,1950.9772067055007,10
02209,Condé-en-Brie,02,1627.4721059879369,12
02213,Connigis,02,2356.583879877104,11
02215,Corbeny,02,1733.2060670450549,6
02216,Corcy,02,2047.1714361420245,6
02217,Coucy-le-Château-Auffrique,02,1445.3163674068082,15
02218,Coucy-lès-Eppes,02,1452.3785508355393,9
02220,Coulonges-Cohan,02,3453.969244916146,12
02223,Courboin,02,1318.3150183150183,6
02225,Courchamps,02,1322.6989073470947,7
02226,Courmelles,02,1744.4686897981846,20
02231,Couvron-et-Aumencourt,02,1264.8272353085786,9
02237,Crécy-sur-Serre,02,1171.5750939463014,10
02238,Crépy,02,1698.285476336329,9
02239,Crézancy,02,1839.6496414717349,20
02242,Crouttes-sur-Marne,02,2068.3884086248595,9
02243,Crouy,02,1888.4987755601474,36
02245,Cuffies,02,1908.079343008985,19
02246,Cugny,02,1410.5175688509023,6
02259,Dampleux,02,2068.266238119179,9
02261,Dercy,02,1391.5365260880728,6
02262,Deuillet,02,1545.114414785261,6
